date,amount,vendor,not sure,who,category,
3/11/17,$100.00 ,"99PLEDGCharlie S          99PLEDGES.COMAZ",2,Bob Smith,charity,
4/7/17,$5.40 ,"85C BAKERY CAFE USA      FLAGSTAFF     AZ",2,Alice Smith,entertainment,
3/11/17,$3.27 ,"CAFE BEARYUM             ORO VALLEY   AZ",2,Bob Smith,,
3/11/17,$35.37 ,"CAFE BEARYUM             ORO VALLEY   AZ",2,Bob Smith,entertainment,
3/18/17,$40.29 ,"CAFE DEUCE               BUCKEYE      AZ",2,Bob Smith,entertainment,
3/16/17,$18.87 ,"DIM SUM KING             SEDONA    CA",2,Bob Smith,,
4/10/17,$19.27 ,"DREAMSCAPE CAFE        FLAGSTAFF AZ",2,Bob Smith,entertainment,
3/12/17,$26.97 ,"GHIRARDELLI #1   SHOW LOWAZ",2,Bob Smith,,
3/19/17,$18.00 ,"GROUPON INC              877-788-7858 IL",2,Alice Smith,entertainment,
3/30/17,$4.89 ,"IN N OUT BURGER #111      PHOENIX     AZ",2,Alice Smith,,
3/23/17,$9.73 ,"IN-N-OUT BURGER #111     PHOENIX     AZ",2,Bob Smith,,
3/11/17,$2.66 ,"IN-N-OUT BURGER #111     PHOENIX     AZ",2,Bob Smith,,
3/11/17,$7.23 ,"IN-N-OUT BURGER #111     PHOENIX     AZ",2,Bob Smith,entertainment,
3/16/17,$10.00 ,"KEE WAH BAKERY           FLAGSTAFF     AZ",2,Alice Smith,entertainment,
4/2/17,$29.93 ,"KOJA KITCHEN             SURPRISE    CA",2,Bob Smith,entertainment,
3/24/17,$9.99 ,"Netflix.com              netflix.com  CA",2,Bob Smith,entertainment,
3/11/17,$4.49 ,"NOTHING BUNDT CAKES 32   PHOENIX     AZ",2,Bob Smith,entertainment,
4/8/17,$31.33 ,"OLIVE GARDEN R12345   FLAGSTAFF     AZ",2,Bob Smith,entertainment,
4/2/17,$35.96 ,"PHO ELEMENT              SURPRISE    CA",2,Bob Smith,entertainment,
4/9/17,$2.18 ,"REDBOX *DVD RENTAL       OAKBROOK TER IL",2,Bob Smith,entertainment,
3/19/17,$61.17 ,"SOSO SUSHI            FLAGSTAFF     AZ",2,Bob Smith,entertainment,
4/1/17,$6.40 ,"SQ *ANTOINE'S COOKIE SHOP  SURPRISE    CA",2,Bob Smith,entertainment,
3/19/17,$5.46 ,"SQ *BEANSTALK COTTA      FLAGSTAFF     AZ",2,Bob Smith,entertainment,
4/9/17,$10.25 ,"STARBUCKS STORE    FLAGSTAFF AZ",2,Bob Smith,entertainment,
4/1/17,$10.70 ,"STARBUCKS STORE 05692    SURPRISE    CA",2,Bob Smith,,
3/11/17,$34.07 ,"THAI EATERY        SURPRISE    CA",2,Bob Smith,entertainment,
4/9/17,$3.36 ,"WENDYS #3             BENSON      AZ",2,Alice Smith,entertainment,
4/7/17,$13.14 ,"AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA",2,Bob Smith,find-detail,
3/21/17,$28.18 ,"AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA",2,Bob Smith,,
4/6/17,$14.19 ,"AMAZON.COM AMZN.COM/BILL AMZN.COM/BILLWA",2,Bob Smith,,
3/21/17,$305.00 ,"LIBERTY MUTUAL           888-398-8924 MA",2,Alice Smith,fixed-insurance,
3/16/17,$5.96 ,"99 RANCH #66           FLAGSTAFF     AZ",2,Alice Smith,,
3/16/17,$8.30 ,"99 RANCH #66           FLAGSTAFF     AZ",2,Alice Smith,food,
4/4/17,$163.15 ,"COSTCO WHSE #1        FLAGSTAFF AZ",2,Bob Smith,food,
3/26/17,$10.85 ,"COSTCO WHSE #1        FLAGSTAFF AZ",2,Bob Smith,,
3/26/17,$114.37 ,"COSTCO WHSE #1        FLAGSTAFF AZ",2,Bob Smith,,
3/18/17,($33.99),"COSTCO WHSE #1        FLAGSTAFF AZ",1,Bob Smith,,
